TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,ClkYear4d,,,StatBits[164],STATBITS[164],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkYearHst,,,ClkHst[0],CLKHST[0],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkYearSet,,,SetBits[80],SETBITS[80],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClrFdwFlwTtl,,,SetBits[0].5,SETBITS[0].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClrGasFlwTtl,,,SetBits[0].2,SETBITS[0].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClrMaxScan,,,SetBits[1].14,SETBITS[1].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClrOilFlwTtl,,,SetBits[0].3,SETBITS[0].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClrStmFlwTtl,,,SetBits[0].4,SETBITS[0].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CoreGasAutoAct,,,StatBits[46].15,STATBITS[46].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CoreGasManExcDevAct,,,StatBits[48].15,STATBITS[48].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPos,,,MiscData[64],MISCDATA[64],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPosDev,,,MiscData[65],MISCDATA[65],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrs,,,AiEu[62],AIEU[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrsAct,,,StatBits[73].14,STATBITS[73].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrsMax,,,AiSclMax[62],AISCLMAX[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrsMin,,,AiSclMin[62],AISCLMIN[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrsPct,,,AiPct[62],AIPCT[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasPrsRng,,,AiRng[62],AIRNG[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CoreGasSelAuto,,,SetBits[41].14,SETBITS[41].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CoreGasSelMan,,,SetBits[41].15,SETBITS[41].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CorePos,,,MiscData[62],MISCDATA[62],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CorePosDev,,,MiscData[63],MISCDATA[63],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CpuClk,,,StatBits[173],STATBITS[173],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalAutoAct,,,StatBits[60].0,STATBITS[60].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalCv,,,CtlData[141],CTLDATA[141],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalDb,,,CtlPrm[150],CTLPRM[150],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalErrAlDb,,,CtlPrm[158],CTLPRM[158],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalErrNegAlLim,,,CtlPrm[157],CTLPRM[157],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalErrPosAlLim,,,CtlPrm[156],CTLPRM[156],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalKc,,,CtlPrm[147],CTLPRM[147],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalOut,,,CtlData[142],CTLDATA[142],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalOutDec,,,SetBits[30].8,SETBITS[30].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalOutDecX10,,,SetBits[30].9,SETBITS[30].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalOutInc,,,SetBits[30].6,SETBITS[30].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalOutIncX10,,,SetBits[30].7,SETBITS[30].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalOutStby,,,StatBits[60].2,STATBITS[60].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalOutTrk,,,StatBits[60].6,STATBITS[60].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DalPv,,,CtlData[137],CTLDATA[137],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalPvAlDb,,,CtlPrm[155],CTLPRM[155],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DalPvHiAlLim,,,CtlPrm[153],CTLPRM[153],"(RADIX := Float, ExternalAccess := Read/Write)"
