GroupName,Specifier,ItemName,ItemPath,DataType,ReadOnly,Reserved,UpdateRate,Reserved,Value,Quality,Timestamp,
Group0,BMSAIRNG[49],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[49].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[5],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[5].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[50],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[50].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[51],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[51].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[52],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[52].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[53],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[53].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[54],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[54].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[55],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[55].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[56],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[56].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[57],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[57].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[58],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[58].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[59],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[59].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[6],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[6].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[60],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[60].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[61],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[61].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[62],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[62].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[63],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[63].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[64],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[64].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[65],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[65].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[66],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[66].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[67],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[67].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[68],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[68].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
