TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDiS8B15,,,BmsStatBits[128].15,BMSSTATBITS[128].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9,,,BmsStatBits[129],BMSSTATBITS[129],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B00,,,BmsStatBits[129].0,BMSSTATBITS[129].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B01,,,BmsStatBits[129].1,BMSSTATBITS[129].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B02,,,BmsStatBits[129].2,BMSSTATBITS[129].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B03,,,BmsStatBits[129].3,BMSSTATBITS[129].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B04,,,BmsStatBits[129].4,BMSSTATBITS[129].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B05,,,BmsStatBits[129].5,BMSSTATBITS[129].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B06,,,BmsStatBits[129].6,BMSSTATBITS[129].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B07,,,BmsStatBits[129].7,BMSSTATBITS[129].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B08,,,BmsStatBits[129].8,BMSSTATBITS[129].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B09,,,BmsStatBits[129].9,BMSSTATBITS[129].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B10,,,BmsStatBits[129].10,BMSSTATBITS[129].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B11,,,BmsStatBits[129].11,BMSSTATBITS[129].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B12,,,BmsStatBits[129].12,BMSSTATBITS[129].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B13,,,BmsStatBits[129].13,BMSSTATBITS[129].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B14,,,BmsStatBits[129].14,BMSSTATBITS[129].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS9B15,,,BmsStatBits[129].15,BMSSTATBITS[129].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
